"name","code","origin","type","category","founded","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUCCI","GUC","意大利","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DIOR","DIO","法国","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRADA","PRA","意大利","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHANEL","CHA","法国","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FENDI","FEN","意大利","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CARTIER","CAR","法国","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GIVENCHY","GIV","法国","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YVES SAINT LAURENT","YSL","法国","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TOM FORD","TOM","美国","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RALPH LAUREN","RAL","美国","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARMANI","ARM","意大利","luxury","国际奢侈品","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIGARDS","RIG","日本","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"999.9","999","日本","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYKITA","MYK","德国","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EYEVAN","EYE","日本","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MATSUDA","MAT","日本","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MASUNAGA","MAS","日本","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYAME","AYA","日本","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DITA","DIT","美国","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LINDBERG","LIN","丹麦","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IC! BERLIN","ICB","德国","designer","日本设计师品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"万年龟","KMN","日本","japanese_brand","日本眼镜品牌（店铺品牌）","1917","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"增永","MSG","日本","japanese_brand","日本眼镜品牌（店铺品牌）","1905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"金子眼镜","KNK","日本","japanese_brand","日本眼镜品牌（店铺品牌）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Azabu Optical","AZB","日本","japanese_brand","日本眼镜品牌（店铺品牌）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kaneko Optical","KAN","日本","japanese_brand","日本眼镜品牌（店铺品牌）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAVAT","TAV","意大利","european","意大利/欧洲品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Hapter","HAP","意大利","european","意大利/欧洲品牌","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
